x,y
44.587219, 1.059440
44.624718, 0.990246
44.662216, 0.919786
44.699715, 0.848140
44.737213, 0.775393
44.774712, 0.701633
44.812210, 0.626956
44.849709, 0.551462
44.887207, 0.475258
44.924706, 0.398451
44.962204, 0.321153
44.999702, 0.243481
45.037201, 0.165551
45.074699, 0.087480
45.112198, 0.009387
45.149696, -0.068610
45.187195, -0.146396
45.224693, -0.223857
45.262192, -0.300881
45.299690, -0.377361
45.337189, -0.453195
45.374687, -0.528284
45.412186, -0.602536
45.449684, -0.675865
45.487183, -0.748189
45.524681, -0.819436
45.562180, -0.889539
45.599678, -0.958435
45.637177, -1.026073
45.674675, -1.092404
45.712173, -1.157389
45.749672, -1.220993
45.787170, -1.283187
45.824669, -1.343950
45.862167, -1.403263
45.899666, -1.461116
45.937164, -1.517501
45.974663, -1.572414
46.012161, -1.625856
46.049660, -1.677832
46.087158, -1.728350
46.124657, -1.777419
46.162155, -1.825052
46.199654, -1.871263
46.237152, -1.916069
46.274651, -1.959488
46.312149, -2.001538
46.349648, -2.042238
46.387146, -2.081610
46.424644, -2.119674
46.462143, -2.156450
46.499641, -2.191959
46.537140, -2.226221
46.574638, -2.259257
46.612137, -2.291086
46.649635, -2.321727
46.687134, -2.351199
46.724632, -2.379518
46.762131, -2.406701
46.799629, -2.432765
46.837128, -2.457723
46.874626, -2.481589
46.912125, -2.504375
46.949623, -2.526094
46.987122, -2.546755
47.024620, -2.566367
47.062119, -2.584939
47.099617, -2.602477
47.137115, -2.618986
47.174614, -2.634472
47.212112, -2.648937
47.249611, -2.662384
47.287109, -2.674814
47.324608, -2.686227
47.362106, -2.696622
47.399605, -2.705996
47.437103, -2.714347
47.474602, -2.721670
47.512100, -2.727960
47.549599, -2.733210
47.587097, -2.737413
